feedback_id,customer_id,feedback_date,channel,rating,feedback_text
1,10860,2023-02-28,Email,5,bad experience refund still not received
2,11294,2023-05-18,App Review,4,love the app but payment failed twice
3,11130,2023-04-09,Email,2,everything works fine
4,11095,2023-03-04,Email,3,awesome app easy to use
5,11638,2023-02-18,Email,4,bad experience refund still not received
6,12169,2023-02-01,Email,4,support team resolved issue quickly
7,10466,2023-05-15,Support Ticket,3,cant track my order properly
8,11238,2023-01-21,App Review,3,checkout page not loading
9,10330,2023-01-20,Email,1,customer service is terrible
10,11482,2023-06-03,Email,5,App crashes again after update
11,12135,2023-05-07,App Review,3,bad experience refund still not received
12,12919,2023-03-09,App Review,1,checkout page not loading
13,10130,2023-04-20,App Review,5,price increased suddenly not fair
14,11685,2023-04-26,App Review,5,frustrating experience will uninstall
15,10769,2023-05-23,Email,5,customer service is terrible
16,12391,2023-04-30,Support Ticket,2,payment deducted but order failed
17,11515,2023-03-20,App Review,1,frustrating experience will uninstall
18,12853,2023-04-26,App Review,3,everything works fine
19,12433,2023-04-02,Support Ticket,1,everything works fine
20,11215,2023-01-14,App Review,5,checkout page not loading
21,10955,2023-06-04,App Review,1,everything works fine
22,12324,2023-05-05,Email,2,payment deducted but order failed
23,11184,2023-06-17,Email,3,love the app but payment failed twice
24,10459,2023-02-27,App Review,2,price increased suddenly not fair
25,10021,2023-01-28,App Review,5,frustrating experience will uninstall
26,12300,2023-01-26,App Review,3,everything works fine
27,10747,2023-04-23,Email,1,app slow and buggy sometimes
28,12904,2023-03-07,Email,2,customer service is terrible
29,10474,2023-06-02,App Review,3,great service very happy
30,11082,2023-05-11,Email,1,frustrating experience will uninstall
31,12558,2023-02-13,Support Ticket,4,support team resolved issue quickly
32,12047,2023-04-07,App Review,4,price increased suddenly not fair
33,12747,2023-02-11,App Review,4,payment deducted but order failed
34,10975,2023-01-06,Email,5,customer service is terrible
35,11806,2023-06-16,App Review,5,login issue cant access account
36,10189,2023-06-29,App Review,5,awesome app easy to use
37,12734,2023-01-23,Email,1,frustrating experience will uninstall
38,10562,2023-03-30,Support Ticket,1,order got cancelled automatically
39,11899,2023-05-03,Support Ticket,2,too many ads now hate it
40,11267,2023-06-27,Email,5,awesome app easy to use
41,12879,2023-06-20,Email,5,price increased suddenly not fair
42,11528,2023-05-27,App Review,5,login issue cant access account
43,10646,2023-02-20,Email,1,delivery was late and support not helpful
44,12068,2023-01-11,App Review,5,cant track my order properly
45,12888,2023-01-12,App Review,3,too many ads now hate it
46,12214,2023-03-15,Email,1,great service very happy
47,11297,2023-01-08,Email,3,frustrating experience will uninstall
48,12435,2023-06-01,App Review,1,App crashes again after update
49,10600,2023-02-10,Support Ticket,3,checkout page not loading
50,12363,2023-06-13,App Review,2,awesome app easy to use
51,12061,2023-03-26,App Review,3,app slow and buggy sometimes
52,10241,2023-03-13,App Review,4,love the app but payment failed twice
53,12041,2023-02-24,Email,5,great service very happy
54,12824,2023-05-17,Email,4,cant track my order properly
55,12612,2023-02-16,App Review,3,price increased suddenly not fair
56,12945,2023-05-23,Email,5,delivery was late and support not helpful
57,11363,2023-06-25,App Review,5,support team resolved issue quickly
58,12139,2023-04-14,Email,1,order got cancelled automatically
59,11390,2023-02-11,App Review,3,checkout page not loading
60,11478,2023-03-01,App Review,2,cant track my order properly
61,12556,2023-01-12,Support Ticket,1,App crashes again after update
62,10775,2023-05-10,App Review,4,very smooth experience no issues
63,10034,2023-01-07,App Review,5,frustrating experience will uninstall
64,12253,2023-03-21,Email,1,frustrating experience will uninstall
65,11955,2023-05-11,Support Ticket,5,great service very happy
66,11585,2023-04-19,App Review,5,price increased suddenly not fair
67,11021,2023-01-03,App Review,5,awesome app easy to use
68,12613,2023-01-27,App Review,2,love the app but payment failed twice
69,11129,2023-04-24,Email,5,too many ads now hate it
70,11500,2023-04-17,App Review,2,cant track my order properly
71,10702,2023-02-09,Email,4,very smooth experience no issues
72,12449,2023-06-10,Support Ticket,1,everything works fine
73,12777,2023-05-09,App Review,1,checkout page not loading
74,11579,2023-01-08,App Review,4,App crashes again after update
75,10161,2023-04-11,App Review,3,login issue cant access account
76,10201,2023-06-09,App Review,2,very smooth experience no issues
77,11981,2023-05-04,Support Ticket,1,app slow and buggy sometimes
78,10995,2023-06-25,App Review,4,very smooth experience no issues
79,12317,2023-04-17,App Review,1,payment deducted but order failed
80,10815,2023-04-11,Email,5,bad experience refund still not received
81,10455,2023-01-04,App Review,1,everything works fine
82,11275,2023-04-20,Email,1,too many ads now hate it
83,11016,2023-01-19,App Review,2,support team resolved issue quickly
84,12343,2023-02-01,Support Ticket,3,frustrating experience will uninstall
85,12767,2023-05-17,Support Ticket,2,app slow and buggy sometimes
86,10337,2023-01-12,Email,2,great service very happy
87,10878,2023-05-19,Support Ticket,5,cant track my order properly
88,11076,2023-02-15,App Review,4,support team resolved issue quickly
89,10791,2023-04-29,App Review,1,delivery was late and support not helpful
90,12264,2023-01-16,Email,3,checkout page not loading
91,10763,2023-05-09,Email,5,App crashes again after update
92,12235,2023-03-04,App Review,2,very smooth experience no issues
93,10379,2023-04-19,App Review,1,app slow and buggy sometimes
94,10492,2023-04-29,App Review,5,delivery was late and support not helpful
95,11180,2023-01-21,App Review,4,support team resolved issue quickly
96,12062,2023-06-07,App Review,4,delivery was late and support not helpful
97,10064,2023-01-13,Email,1,refund pending from last week
98,12568,2023-06-11,App Review,1,payment deducted but order failed
99,11367,2023-01-04,App Review,4,payment deducted but order failed
100,11152,2023-06-05,Email,1,order got cancelled automatically
101,12027,2023-04-12,Email,3,bad experience refund still not received
102,12695,2023-02-28,Support Ticket,3,cant track my order properly
103,11495,2023-05-08,Email,2,login issue cant access account
104,11162,2023-01-27,App Review,5,customer service is terrible
105,11522,2023-03-10,Support Ticket,5,App crashes again after update
106,12640,2023-01-25,Email,4,cant track my order properly
107,10391,2023-05-11,App Review,1,App crashes again after update
108,11698,2023-04-07,Email,1,payment deducted but order failed
109,10418,2023-01-25,Support Ticket,3,too many ads now hate it
110,12336,2023-05-28,App Review,1,frustrating experience will uninstall
111,10378,2023-06-11,App Review,5,love the app but payment failed twice
112,11796,2023-06-03,App Review,1,very smooth experience no issues
113,12278,2023-05-06,App Review,3,great service very happy
114,12088,2023-05-13,App Review,2,support team resolved issue quickly
115,12182,2023-01-09,Email,4,very smooth experience no issues
116,10200,2023-04-26,App Review,1,app slow and buggy sometimes
117,11863,2023-06-27,Support Ticket,3,everything works fine
118,10779,2023-05-14,Email,2,great service very happy
119,12977,2023-03-01,Email,5,great service very happy
120,10502,2023-06-21,Support Ticket,1,support team resolved issue quickly
121,12454,2023-05-01,App Review,5,frustrating experience will uninstall
122,11751,2023-05-19,App Review,5,order got cancelled automatically
123,10804,2023-06-24,Email,2,app slow and buggy sometimes
124,12146,2023-04-18,Support Ticket,5,App crashes again after update
125,12731,2023-04-18,Email,1,customer service is terrible
126,11895,2023-05-11,App Review,5,awesome app easy to use
127,12773,2023-03-17,Support Ticket,3,order got cancelled automatically
128,11570,2023-01-30,App Review,2,frustrating experience will uninstall
129,10960,2023-01-21,Support Ticket,2,cant track my order properly
130,12660,2023-06-05,Support Ticket,1,App crashes again after update
131,11485,2023-06-10,App Review,5,price increased suddenly not fair
132,12690,2023-06-12,Email,1,great service very happy
133,11028,2023-06-29,App Review,4,too many ads now hate it
134,10502,2023-02-03,App Review,3,frustrating experience will uninstall
135,12814,2023-02-10,Email,5,refund pending from last week
136,10397,2023-02-20,Email,1,payment deducted but order failed
137,10870,2023-06-24,Support Ticket,3,too many ads now hate it
138,12842,2023-03-23,Email,3,payment deducted but order failed
139,10392,2023-02-27,App Review,4,cant track my order properly
140,10206,2023-03-16,Support Ticket,1,very smooth experience no issues
141,11038,2023-01-23,Support Ticket,1,delivery was late and support not helpful
142,11881,2023-06-25,App Review,1,love the app but payment failed twice
143,12939,2023-05-08,Support Ticket,4,bad experience refund still not received
144,11484,2023-05-30,App Review,1,order got cancelled automatically
145,10863,2023-01-17,Support Ticket,4,too many ads now hate it
146,12790,2023-03-10,App Review,1,login issue cant access account
147,10563,2023-04-18,App Review,5,awesome app easy to use
148,11020,2023-05-19,App Review,5,payment deducted but order failed
149,10095,2023-04-04,Email,3,love the app but payment failed twice
150,11923,2023-01-15,App Review,2,too many ads now hate it
151,11757,2023-04-01,App Review,1,delivery was late and support not helpful
152,12532,2023-06-12,Email,1,refund pending from last week
153,12278,2023-02-02,Support Ticket,2,support team resolved issue quickly
154,12796,2023-05-05,App Review,4,checkout page not loading
155,11678,2023-01-16,App Review,3,everything works fine
156,10540,2023-06-11,App Review,5,very smooth experience no issues
